Model,Case,Platform,Generator,Eval_Type,AUC,Accuracy,F1-Score,Precision,Recall
videomae,case4_mixed,kakao_high,runway,Fold_3,0.8644,0.6333,0.7317,0.5769,1.0
videomae,case4_mixed,kakao_high,runway,Fold_4,0.8467,0.55,0.6897,0.5263,1.0
videomae,case4_mixed,kakao_high,runway,Fold_5,0.9256,0.6,0.7143,0.5556,1.0
videomae,case4_mixed,kakao_high,runway,Model_Ensemble (Soft Voting),0.8756,0.5833,0.7059,0.5455,1.0
videomae,case4_mixed,kakao_high,runway,Folds_Mean ± SD,0.8658 ± 0.0414,0.6000 ± 0.0514,0.7151 ± 0.0264,0.5570 ± 0.0321,1.0000 ± 0.0000
videomae,case4_mixed,kakao_high,svd,Fold_1,0.5811,0.4667,0.6098,0.4808,0.8333
videomae,case4_mixed,kakao_high,svd,Fold_2,0.5483,0.5667,0.6486,0.5455,0.8
videomae,case4_mixed,kakao_high,svd,Fold_3,0.53,0.5333,0.6316,0.5217,0.8
videomae,case4_mixed,kakao_high,svd,Fold_4,0.5667,0.5,0.6429,0.5,0.9
videomae,case4_mixed,kakao_high,svd,Fold_5,0.5478,0.5167,0.6329,0.5102,0.8333
videomae,case4_mixed,kakao_high,svd,Model_Ensemble (Soft Voting),0.5522,0.5,0.625,0.5,0.8333
videomae,case4_mixed,kakao_high,svd,Folds_Mean ± SD,0.5548 ± 0.0196,0.5167 ± 0.0373,0.6332 ± 0.0149,0.5116 ± 0.0242,0.8333 ± 0.0408
Spatial_Ensemble,case1_original,original,pika,Fold_1,0.8922,0.8,0.8,0.8,0.8
Spatial_Ensemble,case1_original,original,pika,Fold_2,0.9522,0.9,0.9,0.9,0.9
Spatial_Ensemble,case1_original,original,pika,Fold_3,0.9278,0.8,0.7857,0.8462,0.7333
Spatial_Ensemble,case1_original,original,pika,Fold_4,0.94,0.85,0.8571,0.8182,0.9
Spatial_Ensemble,case1_original,original,pika,Fold_5,0.9478,0.8333,0.8148,0.9167,0.7333
Spatial_Ensemble,case1_original,original,pika,Model_Ensemble (Soft Voting),0.9556,0.8333,0.8333,0.8333,0.8333
Spatial_Ensemble,case1_original,original,pika,Folds_Mean ± SD,0.9320 ± 0.0241,0.8367 ± 0.0415,0.8315 ± 0.0467,0.8562 ± 0.0507,0.8133 ± 0.0837
Spatial_Ensemble,case1_original,original,runway,Fold_1,0.88,0.8333,0.8387,0.8125,0.8667
Spatial_Ensemble,case1_original,original,runway,Fold_2,0.9511,0.8833,0.8814,0.8966,0.8667
Spatial_Ensemble,case1_original,original,runway,Fold_3,0.99,0.9167,0.9206,0.8788,0.9667
Spatial_Ensemble,case1_original,original,runway,Fold_4,0.93,0.85,0.8571,0.8182,0.9
Spatial_Ensemble,case1_original,original,runway,Fold_5,0.9611,0.8667,0.8571,0.9231,0.8
Spatial_Ensemble,case1_original,original,runway,Model_Ensemble (Soft Voting),0.9689,0.8667,0.871,0.8438,0.9
Spatial_Ensemble,case1_original,original,runway,Folds_Mean ± SD,0.9424 ± 0.0410,0.8700 ± 0.0321,0.8710 ± 0.0316,0.8658 ± 0.0487,0.8800 ± 0.0606
Spatial_Ensemble,case1_original,original,svd,Fold_1,0.9422,0.8833,0.8923,0.8286,0.9667
Spatial_Ensemble,case1_original,original,svd,Fold_2,0.9644,0.9167,0.918,0.9032,0.9333
Spatial_Ensemble,case1_original,original,svd,Fold_3,0.9622,0.8667,0.8667,0.8667,0.8667
Spatial_Ensemble,case1_original,original,svd,Fold_4,0.9222,0.8167,0.8197,0.8065,0.8333
Spatial_Ensemble,case1_original,original,svd,Fold_5,0.9667,0.9167,0.9153,0.931,0.9
Spatial_Ensemble,case1_original,original,svd,Model_Ensemble (Soft Voting),0.9722,0.9,0.9062,0.8529,0.9667
Spatial_Ensemble,case1_original,original,svd,Folds_Mean ± SD,0.9516 ± 0.0191,0.8800 ± 0.0415,0.8824 ± 0.0407,0.8672 ± 0.0514,0.9000 ± 0.0527
Spatial_Ensemble,case1_original,instagram,pika,Fold_1,0.8644,0.8167,0.8308,0.7714,0.9
Spatial_Ensemble,case1_original,instagram,pika,Fold_2,0.9289,0.8,0.8286,0.725,0.9667
Spatial_Ensemble,case1_original,instagram,pika,Fold_3,0.8944,0.75,0.7541,0.7419,0.7667
Spatial_Ensemble,case1_original,instagram,pika,Fold_4,0.9322,0.8667,0.875,0.8235,0.9333
Spatial_Ensemble,case1_original,instagram,pika,Fold_5,0.9244,0.8,0.8,0.8,0.8
Spatial_Ensemble,case1_original,instagram,pika,Model_Ensemble (Soft Voting),0.9278,0.8333,0.8438,0.7941,0.9
Spatial_Ensemble,case1_original,instagram,pika,Folds_Mean ± SD,0.9089 ± 0.0290,0.8067 ± 0.0418,0.8177 ± 0.0445,0.7724 ± 0.0405,0.8733 ± 0.0863
Spatial_Ensemble,case1_original,instagram,runway,Fold_1,0.8278,0.7833,0.7937,0.7576,0.8333
Spatial_Ensemble,case1_original,instagram,runway,Fold_2,0.9156,0.7667,0.7941,0.7105,0.9
Spatial_Ensemble,case1_original,instagram,runway,Fold_3,0.96,0.85,0.8657,0.7838,0.9667
Spatial_Ensemble,case1_original,instagram,runway,Fold_4,0.9122,0.85,0.8571,0.8182,0.9
Spatial_Ensemble,case1_original,instagram,runway,Fold_5,0.92,0.8,0.8,0.8,0.8
Spatial_Ensemble,case1_original,instagram,runway,Model_Ensemble (Soft Voting),0.9322,0.8333,0.8438,0.7941,0.9
Spatial_Ensemble,case1_original,instagram,runway,Folds_Mean ± SD,0.9071 ± 0.0484,0.8100 ± 0.0384,0.8221 ± 0.0361,0.7740 ± 0.0419,0.8800 ± 0.0650
Spatial_Ensemble,case1_original,instagram,svd,Fold_1,0.9044,0.85,0.8657,0.7838,0.9667
Spatial_Ensemble,case1_original,instagram,svd,Fold_2,0.9533,0.8,0.8286,0.725,0.9667
Spatial_Ensemble,case1_original,instagram,svd,Fold_3,0.92,0.8167,0.8308,0.7714,0.9
Spatial_Ensemble,case1_original,instagram,svd,Fold_4,0.8956,0.85,0.8571,0.8182,0.9
Spatial_Ensemble,case1_original,instagram,svd,Fold_5,0.9333,0.8667,0.875,0.8235,0.9333
Spatial_Ensemble,case1_original,instagram,svd,Model_Ensemble (Soft Voting),0.9567,0.8667,0.8788,0.8056,0.9667
Spatial_Ensemble,case1_original,instagram,svd,Folds_Mean ± SD,0.9213 ± 0.0230,0.8367 ± 0.0274,0.8514 ± 0.0209,0.7844 ± 0.0399,0.9333 ± 0.0333
Spatial_Ensemble,case1_original,kakao_normal,pika,Fold_1,0.8867,0.8333,0.8387,0.8125,0.8667
Spatial_Ensemble,case1_original,kakao_normal,pika,Fold_2,0.9478,0.8667,0.875,0.8235,0.9333
Spatial_Ensemble,case1_original,kakao_normal,pika,Fold_3,0.9167,0.8,0.7931,0.8214,0.7667
Spatial_Ensemble,case1_original,kakao_normal,pika,Fold_4,0.93,0.8667,0.875,0.8235,0.9333
Spatial_Ensemble,case1_original,kakao_normal,pika,Fold_5,0.9456,0.85,0.8421,0.8889,0.8
Spatial_Ensemble,case1_original,kakao_normal,pika,Model_Ensemble (Soft Voting),0.9478,0.8667,0.871,0.8438,0.9
Spatial_Ensemble,case1_original,kakao_normal,pika,Folds_Mean ± SD,0.9253 ± 0.0250,0.8433 ± 0.0279,0.8448 ± 0.0337,0.8340 ± 0.0310,0.8600 ± 0.0760
Spatial_Ensemble,case1_original,kakao_normal,runway,Fold_1,0.8511,0.8167,0.8197,0.8065,0.8333
Spatial_Ensemble,case1_original,kakao_normal,runway,Fold_2,0.9422,0.8333,0.8387,0.8125,0.8667
Spatial_Ensemble,case1_original,kakao_normal,runway,Fold_3,0.9756,0.9,0.9062,0.8529,0.9667
Spatial_Ensemble,case1_original,kakao_normal,runway,Fold_4,0.9222,0.85,0.8571,0.8182,0.9
Spatial_Ensemble,case1_original,kakao_normal,runway,Fold_5,0.9522,0.8667,0.8621,0.8929,0.8333
Spatial_Ensemble,case1_original,kakao_normal,runway,Model_Ensemble (Soft Voting),0.9533,0.8667,0.871,0.8438,0.9
Spatial_Ensemble,case1_original,kakao_normal,runway,Folds_Mean ± SD,0.9287 ± 0.0474,0.8533 ± 0.0321,0.8568 ± 0.0323,0.8366 ± 0.0363,0.8800 ± 0.0558
Spatial_Ensemble,case1_original,kakao_normal,svd,Fold_1,0.93,0.8833,0.8923,0.8286,0.9667
Spatial_Ensemble,case1_original,kakao_normal,svd,Fold_2,0.9589,0.8667,0.875,0.8235,0.9333
Spatial_Ensemble,case1_original,kakao_normal,svd,Fold_3,0.9422,0.8667,0.871,0.8438,0.9
Spatial_Ensemble,case1_original,kakao_normal,svd,Fold_4,0.9056,0.8667,0.875,0.8235,0.9333
Spatial_Ensemble,case1_original,kakao_normal,svd,Fold_5,0.9533,0.9,0.9,0.9,0.9
Spatial_Ensemble,case1_original,kakao_normal,svd,Model_Ensemble (Soft Voting),0.9689,0.9,0.9062,0.8529,0.9667
Spatial_Ensemble,case1_original,kakao_normal,svd,Folds_Mean ± SD,0.9380 ± 0.0212,0.8767 ± 0.0149,0.8827 ± 0.0127,0.8439 ± 0.0325,0.9267 ± 0.0279
Spatial_Ensemble,case1_original,kakao_high,pika,Fold_1,0.8878,0.8167,0.8197,0.8065,0.8333
Spatial_Ensemble,case1_original,kakao_high,pika,Fold_2,0.9433,0.8833,0.8889,0.8485,0.9333
Spatial_Ensemble,case1_original,kakao_high,pika,Fold_3,0.9267,0.8,0.7857,0.8462,0.7333
Spatial_Ensemble,case1_original,kakao_high,pika,Fold_4,0.9378,0.8833,0.8889,0.8485,0.9333
Spatial_Ensemble,case1_original,kakao_high,pika,Fold_5,0.9511,0.8333,0.8148,0.9167,0.7333
Spatial_Ensemble,case1_original,kakao_high,pika,Model_Ensemble (Soft Voting),0.9533,0.85,0.8525,0.8387,0.8667
Spatial_Ensemble,case1_original,kakao_high,pika,Folds_Mean ± SD,0.9293 ± 0.0249,0.8433 ± 0.0384,0.8396 ± 0.0468,0.8532 ± 0.0397,0.8333 ± 0.1000
Spatial_Ensemble,case1_original,kakao_high,runway,Fold_1,0.8789,0.8333,0.8387,0.8125,0.8667
Spatial_Ensemble,case1_original,kakao_high,runway,Fold_2,0.9667,0.85,0.8525,0.8387,0.8667
Spatial_Ensemble,case1_original,kakao_high,runway,Fold_3,0.9922,0.9167,0.9206,0.8788,0.9667
Spatial_Ensemble,case1_original,kakao_high,runway,Fold_4,0.9289,0.8833,0.8889,0.8485,0.9333
Spatial_Ensemble,case1_original,kakao_high,runway,Fold_5,0.9644,0.8833,0.8772,0.9259,0.8333
Spatial_Ensemble,case1_original,kakao_high,runway,Model_Ensemble (Soft Voting),0.9689,0.8667,0.871,0.8438,0.9
Spatial_Ensemble,case1_original,kakao_high,runway,Folds_Mean ± SD,0.9462 ± 0.0439,0.8733 ± 0.0325,0.8756 ± 0.0320,0.8609 ± 0.0434,0.8933 ± 0.0548
Spatial_Ensemble,case1_original,kakao_high,svd,Fold_1,0.9322,0.8833,0.8923,0.8286,0.9667
Spatial_Ensemble,case1_original,kakao_high,svd,Fold_2,0.96,0.8833,0.8889,0.8485,0.9333
Spatial_Ensemble,case1_original,kakao_high,svd,Fold_3,0.9622,0.8833,0.8852,0.871,0.9
Spatial_Ensemble,case1_original,kakao_high,svd,Fold_4,0.91,0.8333,0.8333,0.8333,0.8333
Spatial_Ensemble,case1_original,kakao_high,svd,Fold_5,0.9622,0.9167,0.9153,0.931,0.9
Spatial_Ensemble,case1_original,kakao_high,svd,Model_Ensemble (Soft Voting),0.9711,0.9,0.9062,0.8529,0.9667
Spatial_Ensemble,case1_original,kakao_high,svd,Folds_Mean ± SD,0.9453 ± 0.0235,0.8800 ± 0.0298,0.8830 ± 0.0301,0.8625 ± 0.0417,0.9067 ± 0.0494
Spatial_Ensemble,case4_mixed,original,pika,Fold_1,0.8,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,original,pika,Fold_2,0.9089,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,original,pika,Fold_3,0.78,0.5167,0.6667,0.5088,0.9667
Spatial_Ensemble,case4_mixed,original,pika,Fold_4,0.9256,0.5333,0.6744,0.5179,0.9667
Spatial_Ensemble,case4_mixed,original,pika,Fold_5,0.8444,0.6167,0.7229,0.566,1.0
Spatial_Ensemble,case4_mixed,original,pika,Model_Ensemble (Soft Voting),0.8878,0.5667,0.6977,0.5357,1.0
Spatial_Ensemble,case4_mixed,original,pika,Folds_Mean ± SD,0.8518 ± 0.0644,0.5733 ± 0.0450,0.6985 ± 0.0259,0.5408 ± 0.0256,0.9867 ± 0.0183
Spatial_Ensemble,case4_mixed,original,runway,Fold_1,0.73,0.55,0.6667,0.5294,0.9
Spatial_Ensemble,case4_mixed,original,runway,Fold_2,0.8344,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,original,runway,Fold_3,0.7978,0.5333,0.6818,0.5172,1.0
Spatial_Ensemble,case4_mixed,original,runway,Fold_4,0.8833,0.5167,0.6588,0.5091,0.9333
Spatial_Ensemble,case4_mixed,original,runway,Fold_5,0.7544,0.6167,0.7229,0.566,1.0
Spatial_Ensemble,case4_mixed,original,runway,Model_Ensemble (Soft Voting),0.8389,0.5667,0.6977,0.5357,1.0
Spatial_Ensemble,case4_mixed,original,runway,Folds_Mean ± SD,0.8000 ± 0.0615,0.5633 ± 0.0431,0.6889 ± 0.0285,0.5355 ± 0.0245,0.9667 ± 0.0471
Spatial_Ensemble,case4_mixed,original,svd,Fold_1,0.7711,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,original,svd,Fold_2,0.75,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,original,svd,Fold_3,0.7133,0.5167,0.6667,0.5088,0.9667
Spatial_Ensemble,case4_mixed,original,svd,Fold_4,0.8178,0.55,0.6897,0.5263,1.0
Spatial_Ensemble,case4_mixed,original,svd,Fold_5,0.7744,0.6,0.7073,0.5577,0.9667
Spatial_Ensemble,case4_mixed,original,svd,Model_Ensemble (Soft Voting),0.8144,0.5667,0.6977,0.5357,1.0
Spatial_Ensemble,case4_mixed,original,svd,Folds_Mean ± SD,0.7653 ± 0.0381,0.5733 ± 0.0384,0.6984 ± 0.0204,0.5408 ± 0.0221,0.9867 ± 0.0183
Spatial_Ensemble,case4_mixed,instagram,pika,Fold_1,0.81,0.5833,0.7059,0.5455,1.0
Spatial_Ensemble,case4_mixed,instagram,pika,Fold_2,0.91,0.6167,0.7229,0.566,1.0
Spatial_Ensemble,case4_mixed,instagram,pika,Fold_3,0.7744,0.4833,0.6517,0.4915,0.9667
Spatial_Ensemble,case4_mixed,instagram,pika,Fold_4,0.9222,0.5333,0.6744,0.5179,0.9667
Spatial_Ensemble,case4_mixed,instagram,pika,Fold_5,0.83,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,instagram,pika,Model_Ensemble (Soft Voting),0.8867,0.5167,0.6742,0.5085,1.0
Spatial_Ensemble,case4_mixed,instagram,pika,Folds_Mean ± SD,0.8493 ± 0.0643,0.5633 ± 0.0545,0.6938 ± 0.0298,0.5353 ± 0.0303,0.9867 ± 0.0183
Spatial_Ensemble,case4_mixed,instagram,runway,Fold_1,0.72,0.55,0.6747,0.5283,0.9333
Spatial_Ensemble,case4_mixed,instagram,runway,Fold_2,0.8411,0.6167,0.7229,0.566,1.0
Spatial_Ensemble,case4_mixed,instagram,runway,Fold_3,0.76,0.5,0.6667,0.5,1.0
Spatial_Ensemble,case4_mixed,instagram,runway,Fold_4,0.8567,0.5167,0.6588,0.5091,0.9333
Spatial_Ensemble,case4_mixed,instagram,runway,Fold_5,0.7144,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,instagram,runway,Model_Ensemble (Soft Voting),0.8289,0.5167,0.6742,0.5085,1.0
Spatial_Ensemble,case4_mixed,instagram,runway,Folds_Mean ± SD,0.7784 ± 0.0669,0.5567 ± 0.0508,0.6875 ± 0.0291,0.5318 ± 0.0286,0.9733 ± 0.0365
Spatial_Ensemble,case4_mixed,instagram,svd,Fold_1,0.7711,0.5833,0.7059,0.5455,1.0
Spatial_Ensemble,case4_mixed,instagram,svd,Fold_2,0.7144,0.6167,0.7229,0.566,1.0
Spatial_Ensemble,case4_mixed,instagram,svd,Fold_3,0.7067,0.4833,0.6517,0.4915,0.9667
Spatial_Ensemble,case4_mixed,instagram,svd,Fold_4,0.8222,0.5333,0.6744,0.5179,0.9667
Spatial_Ensemble,case4_mixed,instagram,svd,Fold_5,0.7633,0.5833,0.6988,0.5472,0.9667
Spatial_Ensemble,case4_mixed,instagram,svd,Model_Ensemble (Soft Voting),0.8067,0.5167,0.6742,0.5085,1.0
Spatial_Ensemble,case4_mixed,instagram,svd,Folds_Mean ± SD,0.7556 ± 0.0470,0.5600 ± 0.0522,0.6907 ± 0.0279,0.5336 ± 0.0291,0.9800 ± 0.0183
Spatial_Ensemble,case4_mixed,kakao_normal,pika,Fold_1,0.8044,0.5833,0.7059,0.5455,1.0
Spatial_Ensemble,case4_mixed,kakao_normal,pika,Fold_2,0.8944,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,kakao_normal,pika,Fold_3,0.7833,0.4833,0.6517,0.4915,0.9667
Spatial_Ensemble,case4_mixed,kakao_normal,pika,Fold_4,0.9244,0.5333,0.6744,0.5179,0.9667
Spatial_Ensemble,case4_mixed,kakao_normal,pika,Fold_5,0.8467,0.5833,0.7059,0.5455,1.0
Spatial_Ensemble,case4_mixed,kakao_normal,pika,Model_Ensemble (Soft Voting),0.89,0.5333,0.6818,0.5172,1.0
Spatial_Ensemble,case4_mixed,kakao_normal,pika,Folds_Mean ± SD,0.8507 ± 0.0593,0.5567 ± 0.0480,0.6904 ± 0.0265,0.5312 ± 0.0262,0.9867 ± 0.0183
Spatial_Ensemble,case4_mixed,kakao_normal,runway,Fold_1,0.7244,0.5333,0.6585,0.5192,0.9
Spatial_Ensemble,case4_mixed,kakao_normal,runway,Fold_2,0.8344,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,kakao_normal,runway,Fold_3,0.7744,0.5,0.6667,0.5,1.0
Spatial_Ensemble,case4_mixed,kakao_normal,runway,Fold_4,0.8833,0.5167,0.6588,0.5091,0.9333
Spatial_Ensemble,case4_mixed,kakao_normal,runway,Fold_5,0.7311,0.5833,0.7059,0.5455,1.0
Spatial_Ensemble,case4_mixed,kakao_normal,runway,Model_Ensemble (Soft Voting),0.8344,0.5333,0.6818,0.5172,1.0
Spatial_Ensemble,case4_mixed,kakao_normal,runway,Folds_Mean ± SD,0.7896 ± 0.0684,0.5467 ± 0.0431,0.6808 ± 0.0271,0.5259 ± 0.0238,0.9667 ± 0.0471
Spatial_Ensemble,case4_mixed,kakao_normal,svd,Fold_1,0.7744,0.5833,0.7059,0.5455,1.0
Spatial_Ensemble,case4_mixed,kakao_normal,svd,Fold_2,0.72,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,kakao_normal,svd,Fold_3,0.7011,0.4833,0.6517,0.4915,0.9667
Spatial_Ensemble,case4_mixed,kakao_normal,svd,Fold_4,0.8289,0.5333,0.6744,0.5179,0.9667
Spatial_Ensemble,case4_mixed,kakao_normal,svd,Fold_5,0.7744,0.5667,0.6905,0.537,0.9667
Spatial_Ensemble,case4_mixed,kakao_normal,svd,Model_Ensemble (Soft Voting),0.8133,0.5333,0.6818,0.5172,1.0
Spatial_Ensemble,case4_mixed,kakao_normal,svd,Folds_Mean ± SD,0.7598 ± 0.0506,0.5533 ± 0.0462,0.6873 ± 0.0251,0.5295 ± 0.0253,0.9800 ± 0.0183
Spatial_Ensemble,case4_mixed,kakao_high,pika,Fold_1,0.8122,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,kakao_high,pika,Fold_2,0.9044,0.6167,0.7229,0.566,1.0
Spatial_Ensemble,case4_mixed,kakao_high,pika,Fold_3,0.7922,0.5167,0.6667,0.5088,0.9667
Spatial_Ensemble,case4_mixed,kakao_high,pika,Fold_4,0.9222,0.55,0.6824,0.5273,0.9667
Spatial_Ensemble,case4_mixed,kakao_high,pika,Fold_5,0.8467,0.6167,0.7229,0.566,1.0
Spatial_Ensemble,case4_mixed,kakao_high,pika,Model_Ensemble (Soft Voting),0.8911,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,kakao_high,pika,Folds_Mean ± SD,0.8556 ± 0.0566,0.5800 ± 0.0447,0.7018 ± 0.0258,0.5447 ± 0.0256,0.9867 ± 0.0183
Spatial_Ensemble,case4_mixed,kakao_high,runway,Fold_1,0.7433,0.55,0.6667,0.5294,0.9
Spatial_Ensemble,case4_mixed,kakao_high,runway,Fold_2,0.8289,0.6167,0.7229,0.566,1.0
Spatial_Ensemble,case4_mixed,kakao_high,runway,Fold_3,0.8056,0.5333,0.6818,0.5172,1.0
Spatial_Ensemble,case4_mixed,kakao_high,runway,Fold_4,0.8889,0.5333,0.6667,0.5185,0.9333
Spatial_Ensemble,case4_mixed,kakao_high,runway,Fold_5,0.7511,0.6167,0.7229,0.566,1.0
Spatial_Ensemble,case4_mixed,kakao_high,runway,Model_Ensemble (Soft Voting),0.8422,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,kakao_high,runway,Folds_Mean ± SD,0.8036 ± 0.0598,0.5700 ± 0.0431,0.6922 ± 0.0287,0.5394 ± 0.0247,0.9667 ± 0.0471
Spatial_Ensemble,case4_mixed,kakao_high,svd,Fold_1,0.7844,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,kakao_high,svd,Fold_2,0.7544,0.6167,0.7229,0.566,1.0
Spatial_Ensemble,case4_mixed,kakao_high,svd,Fold_3,0.7233,0.5167,0.6667,0.5088,0.9667
Spatial_Ensemble,case4_mixed,kakao_high,svd,Fold_4,0.8167,0.5667,0.6977,0.5357,1.0
Spatial_Ensemble,case4_mixed,kakao_high,svd,Fold_5,0.7844,0.6,0.7073,0.5577,0.9667
Spatial_Ensemble,case4_mixed,kakao_high,svd,Model_Ensemble (Soft Voting),0.8244,0.6,0.7143,0.5556,1.0
Spatial_Ensemble,case4_mixed,kakao_high,svd,Folds_Mean ± SD,0.7727 ± 0.0353,0.5800 ± 0.0398,0.7018 ± 0.0217,0.5448 ± 0.0230,0.9867 ± 0.0183
Temporal_Ensemble,case1_original,original,pika,Fold_1,0.7967,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case1_original,original,pika,Fold_2,0.8478,0.5667,0.6977,0.5357,1.0
Temporal_Ensemble,case1_original,original,pika,Fold_3,0.8556,0.55,0.6897,0.5263,1.0
Temporal_Ensemble,case1_original,original,pika,Fold_4,0.8811,0.6,0.7143,0.5556,1.0
Temporal_Ensemble,case1_original,original,pika,Fold_5,0.8789,0.55,0.6897,0.5263,1.0
Temporal_Ensemble,case1_original,original,pika,Model_Ensemble (Soft Voting),0.8667,0.5333,0.6818,0.5172,1.0
Temporal_Ensemble,case1_original,original,pika,Folds_Mean ± SD,0.8520 ± 0.0341,0.5567 ± 0.0303,0.6931 ± 0.0146,0.5305 ± 0.0171,1.0000 ± 0.0000
Temporal_Ensemble,case1_original,original,runway,Fold_1,0.8122,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case1_original,original,runway,Fold_2,0.8344,0.5667,0.6977,0.5357,1.0
Temporal_Ensemble,case1_original,original,runway,Fold_3,0.88,0.55,0.6897,0.5263,1.0
Temporal_Ensemble,case1_original,original,runway,Fold_4,0.8733,0.6,0.7143,0.5556,1.0
Temporal_Ensemble,case1_original,original,runway,Fold_5,0.8622,0.55,0.6897,0.5263,1.0
Temporal_Ensemble,case1_original,original,runway,Model_Ensemble (Soft Voting),0.8744,0.5333,0.6818,0.5172,1.0
Temporal_Ensemble,case1_original,original,runway,Folds_Mean ± SD,0.8524 ± 0.0284,0.5567 ± 0.0303,0.6931 ± 0.0146,0.5305 ± 0.0171,1.0000 ± 0.0000
Temporal_Ensemble,case1_original,original,svd,Fold_1,0.53,0.4667,0.6279,0.4821,0.9
Temporal_Ensemble,case1_original,original,svd,Fold_2,0.5878,0.4833,0.6173,0.4902,0.8333
Temporal_Ensemble,case1_original,original,svd,Fold_3,0.5922,0.4833,0.6265,0.4906,0.8667
Temporal_Ensemble,case1_original,original,svd,Fold_4,0.57,0.5,0.6154,0.5,0.8
Temporal_Ensemble,case1_original,original,svd,Fold_5,0.59,0.5,0.6429,0.5,0.9
Temporal_Ensemble,case1_original,original,svd,Model_Ensemble (Soft Voting),0.5756,0.4833,0.6353,0.4909,0.9
Temporal_Ensemble,case1_original,original,svd,Folds_Mean ± SD,0.5740 ± 0.0261,0.4867 ± 0.0139,0.6260 ± 0.0109,0.4926 ± 0.0076,0.8600 ± 0.0435
Temporal_Ensemble,case1_original,instagram,pika,Fold_1,0.7978,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case1_original,instagram,pika,Fold_2,0.8544,0.5333,0.6818,0.5172,1.0
Temporal_Ensemble,case1_original,instagram,pika,Fold_3,0.8511,0.5333,0.6818,0.5172,1.0
Temporal_Ensemble,case1_original,instagram,pika,Fold_4,0.8856,0.5833,0.7059,0.5455,1.0
Temporal_Ensemble,case1_original,instagram,pika,Fold_5,0.8733,0.5333,0.6818,0.5172,1.0
Temporal_Ensemble,case1_original,instagram,pika,Model_Ensemble (Soft Voting),0.8711,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case1_original,instagram,pika,Folds_Mean ± SD,0.8524 ± 0.0336,0.5400 ± 0.0253,0.6851 ± 0.0121,0.5211 ± 0.0141,1.0000 ± 0.0000
Temporal_Ensemble,case1_original,instagram,runway,Fold_1,0.7944,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case1_original,instagram,runway,Fold_2,0.8278,0.5333,0.6818,0.5172,1.0
Temporal_Ensemble,case1_original,instagram,runway,Fold_3,0.8767,0.5333,0.6818,0.5172,1.0
Temporal_Ensemble,case1_original,instagram,runway,Fold_4,0.8667,0.5833,0.7059,0.5455,1.0
Temporal_Ensemble,case1_original,instagram,runway,Fold_5,0.8433,0.5333,0.6818,0.5172,1.0
Temporal_Ensemble,case1_original,instagram,runway,Model_Ensemble (Soft Voting),0.8622,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case1_original,instagram,runway,Folds_Mean ± SD,0.8418 ± 0.0327,0.5400 ± 0.0253,0.6851 ± 0.0121,0.5211 ± 0.0141,1.0000 ± 0.0000
Temporal_Ensemble,case1_original,instagram,svd,Fold_1,0.51,0.4333,0.5952,0.463,0.8333
Temporal_Ensemble,case1_original,instagram,svd,Fold_2,0.5644,0.45,0.6024,0.4717,0.8333
Temporal_Ensemble,case1_original,instagram,svd,Fold_3,0.5733,0.45,0.6024,0.4717,0.8333
Temporal_Ensemble,case1_original,instagram,svd,Fold_4,0.5367,0.4833,0.6076,0.4898,0.8
Temporal_Ensemble,case1_original,instagram,svd,Fold_5,0.5611,0.4833,0.6353,0.4909,0.9
Temporal_Ensemble,case1_original,instagram,svd,Model_Ensemble (Soft Voting),0.5589,0.45,0.6118,0.4727,0.8667
Temporal_Ensemble,case1_original,instagram,svd,Folds_Mean ± SD,0.5491 ± 0.0257,0.4600 ± 0.0224,0.6086 ± 0.0156,0.4774 ± 0.0123,0.8400 ± 0.0365
Temporal_Ensemble,case1_original,kakao_normal,pika,Fold_1,0.8,0.5167,0.6742,0.5085,1.0
Temporal_Ensemble,case1_original,kakao_normal,pika,Fold_2,0.8489,0.55,0.6897,0.5263,1.0
Temporal_Ensemble,case1_original,kakao_normal,pika,Fold_3,0.8567,0.55,0.6897,0.5263,1.0
