Model,Case,Platform,Generator,Eval_Type,AUC,Accuracy,F1-Score,Precision,Recall
convnext,case1_original,original,pika,Fold_1,0.6767,0.5667,0.6579,0.5435,0.8333
convnext,case1_original,original,pika,Fold_2,0.8989,0.6,0.7073,0.5577,0.9667
convnext,case1_original,original,pika,Fold_3,0.88,0.75,0.7273,0.8,0.6667
convnext,case1_original,original,pika,Fold_4,0.7978,0.65,0.7123,0.6047,0.8667
convnext,case1_original,original,pika,Fold_5,0.9244,0.8,0.7692,0.9091,0.6667
convnext,case1_original,original,pika,Model_Ensemble (Soft Voting),0.9033,0.7833,0.7636,0.84,0.7
convnext,case1_original,original,pika,Folds_Mean ± SD,0.8356 ± 0.1007,0.6733 ± 0.0990,0.7148 ± 0.0401,0.6830 ± 0.1629,0.8000 ± 0.1312
convnext,case1_original,original,runway,Fold_1,0.9044,0.65,0.7407,0.5882,1.0
convnext,case1_original,original,runway,Fold_2,0.9056,0.6,0.7073,0.5577,0.9667
convnext,case1_original,original,runway,Fold_3,0.9667,0.8833,0.8889,0.8485,0.9333
convnext,case1_original,original,runway,Fold_4,0.8333,0.6667,0.7297,0.6136,0.9
convnext,case1_original,original,runway,Fold_5,0.98,0.9,0.8966,0.9286,0.8667
convnext,case1_original,original,runway,Model_Ensemble (Soft Voting),0.9778,0.9,0.9032,0.875,0.9333
convnext,case1_original,original,runway,Folds_Mean ± SD,0.9180 ± 0.0586,0.7400 ± 0.1407,0.7926 ± 0.0922,0.7073 ± 0.1690,0.9333 ± 0.0527
convnext,case1_original,original,svd,Fold_1,0.75,0.6333,0.725,0.58,0.9667
convnext,case1_original,original,svd,Fold_2,0.74,0.5833,0.6914,0.549,0.9333
convnext,case1_original,original,svd,Fold_3,0.9478,0.8667,0.871,0.8438,0.9
convnext,case1_original,original,svd,Fold_4,0.7822,0.6667,0.7297,0.6136,0.9
convnext,case1_original,original,svd,Fold_5,0.97,0.9,0.8966,0.9286,0.8667
convnext,case1_original,original,svd,Model_Ensemble (Soft Voting),0.9589,0.8833,0.8852,0.871,0.9
convnext,case1_original,original,svd,Folds_Mean ± SD,0.8380 ± 0.1117,0.7300 ± 0.1436,0.7827 ± 0.0939,0.7030 ± 0.1714,0.9133 ± 0.0380
convnext,case1_original,instagram,pika,Fold_1,0.6778,0.5667,0.675,0.54,0.9
convnext,case1_original,instagram,pika,Fold_2,0.9111,0.6,0.7143,0.5556,1.0
convnext,case1_original,instagram,pika,Fold_3,0.8411,0.7667,0.7742,0.75,0.8
convnext,case1_original,instagram,pika,Fold_4,0.8067,0.6167,0.6933,0.5778,0.8667
convnext,case1_original,instagram,pika,Fold_5,0.8767,0.8167,0.807,0.8519,0.7667
convnext,case1_original,instagram,pika,Model_Ensemble (Soft Voting),0.8878,0.7833,0.8,0.7429,0.8667
